,ORCA-Fusion-BT,ORCA-Fusion,ORCA_Flash4.0,Kinetix,iXon897Life,Panda4.2
483,0.784390244,0.784390244,0.811886378,0.887884268,0.916636364,0.93883792
484,0.784390244,0.784390244,0.815178908,0.889379144,0.919438596,0.93883792
485,0.784390244,0.784390244,0.816588198,0.889963834,0.922240829,0.93883792
486,0.784390244,0.784390244,0.819880728,0.892356841,0.925043062,0.939673802
487,0.784390244,0.784390244,0.821290019,0.893309222,0.927845295,0.94158002
488,0.784390244,0.784390244,0.824582549,0.895117541,0.930647528,0.941896024
489,0.784390244,0.784390244,0.825991839,0.895919228,0.933200957,0.941896024
490,0.784390244,0.784390244,0.828625235,0.898312236,0.934401914,0.941896024
491,0.784390244,0.784390244,0.830508475,0.898896926,0.935799043,0.941896024
492,0.784390244,0.784390244,0.83210295,0.900542495,0.938200957,0.941896024
493,0.784390244,0.784390244,0.834274953,0.901874623,0.940602871,0.941896024
494,0.784390244,0.784390244,0.836158192,0.902459313,0.943004785,0.942691131
495,0.784390244,0.784390244,0.838041431,0.904852321,0.945406699,0.94459735
496,0.784390244,0.784390244,0.839623352,0.90596745,0.947808612,0.944954128
497,0.784490592,0.784490592,0.841032643,0.907775769,0.950210526,0.944954128
498,0.787244599,0.787244599,0.842441933,0.907775769,0.95261244,0.944954128
499,0.78658676,0.78658676,0.845574388,0.908999397,0.954311005,0.944954128
500,0.784390244,0.784390244,0.847143754,0.909584087,0.953110048,0.944954128
501,0.784390244,0.784390244,0.848553045,0.910168776,0.952885167,0.944954128
502,0.784390244,0.784390244,0.849962335,0.911392405,0.956488038,0.945708461
503,0.784390244,0.784390244,0.851371626,0.911392405,0.959330144,0.947614679
504,0.784390244,0.784390244,0.853107345,0.911922845,0.959330144,0.948012232
505,0.784390244,0.784390244,0.854990584,0.913200723,0.959593301,0.948012232
506,0.784390244,0.784390244,0.856873823,0.913200723,0.960794258,0.948012232
507,0.784390244,0.784390244,0.858757062,0.915009042,0.962131579,0.949123344
508,0.784390244,0.784390244,0.860301318,0.916069922,0.963933014,0.951029562
509,0.784390244,0.784390244,0.861710609,0.91681736,0.96573445,0.951070336
510,0.784390244,0.784390244,0.8631199,0.918625678,0.967535885,0.951783894
511,0.784390244,0.784390244,0.86452919,0.918625678,0.969191388,0.953690112
512,0.784390244,0.784390244,0.866290019,0.920216998,0.970392344,0.95412844
513,0.784390244,0.784390244,0.868173258,0.920801688,0.971593301,0.954444444
514,0.784390244,0.784390244,0.870056497,0.922242315,0.972794258,0.956350663
515,0.784390244,0.784390244,0.871939736,0.923779385,0.973995215,0.957186544
516,0.784390244,0.784390244,0.873458883,0.924364075,0.975196172,0.957186544
517,0.784390244,0.784390244,0.874868173,0.925858951,0.976397129,0.957186544
518,0.784390244,0.784390244,0.876277464,0.925858951,0.977598086,0.957859327
